Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_inf_sisko,k_sisko,n_sisko,curve_rmse,curve_r2,curve_mse
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,19,F1_none_69.0_0.0,sisko,0.00010000000887045695,5.988419457017159,0.7175399568461704,0.26279960490786447,0.9758867817180455,0.06906363233972967
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,20,F1_none_73.0_0.0,sisko,2.341198331175271,127.82754001673754,0.05000000000246156,3.655552450983539,0.9962701014715707,13.363063721891761
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,21,F1_none_69.0_0.0,sisko,0.0001000000000039722,5.461702660821375,0.6605079323556214,0.22176124389829935,0.9826740681789442,0.04917804929532101
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,22,F1_none_73.0_0.0,sisko,2.3108006974131414,142.98450335003758,0.05000000000000001,6.593222154399376,0.9908914399518716,43.47057837726275
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,23,F2_none_73.0_0.0,sisko,0.0001000000000474688,5.189967780764623,0.7701232387304395,0.16150574089941458,0.985450680104956,0.026084104343468834
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,24,F2_none_73.0_0.0,sisko,0.3222504992899692,3.0418195007100115,0.5734587215549523,2.3814391708484577e-14,1.0,5.67125252445139e-28
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,25,F2_none_73.0_0.0,sisko,1.1753943735320425,14.82300562571765,0.30835617486236755,4.794668417033056e-10,1.0,2.298884522929427e-19
none,74.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.8461538460443787,0.020408163265097874,26,F1_none_74.0_0.0,sisko,2.2672922736739483,44.10770772632639,0.4476061396711293,2.352275890714717e-13,1.0,5.533201866037714e-26
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,27,F1_Tego_73.0_0.5,sisko,0.0001000000156441478,8.546699082728647,0.7668865467236614,0.1172045033848801,0.997344982143512,0.013736895613696372
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,28,F1_Tego_77.0_0.25,sisko,1.7890078772563813,45.64749223141547,0.5484137354258118,7.907980564734457e-08,1.0,6.253615661221791e-15
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,29,F1_Tego_69.0_0.25,sisko,0.00010000000000000002,5.457747592920897,0.7270120525794596,0.25256457576455604,0.972121934734812,0.06378886493113017
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,30,F1_Tego_77.0_0.25,sisko,5.199466979002283,235.0005328724656,0.1731856936187047,8.799817367118652e-08,1.0,7.743678569464306e-15
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,31,F1_Tego_77.0_0.25,sisko,4.234677541607023,245.7253224599378,0.2661850480065034,9.518087185489097e-10,1.0,9.059398367057174e-19
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,32,F1_Tego_73.0_0.25,sisko,2.242617610536893,70.5656823894628,0.21028712586822298,2.2667872401810415e-13,1.0,5.1383243922475825e-26
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,33,F1_Tego_69.0_0.5,sisko,0.00010000000005554592,5.57245256171041,0.7165881729727019,0.16447246087982487,0.9895476623767235,0.02705119038786552
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,34,F1_Tego_73.0_0.25,sisko,1.6048876123524463,44.93961238764782,0.17388554050014035,1.8605730340456562e-13,1.0,3.4617320150178585e-26
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,35,F1_Tego_73.0_0.5,sisko,2.199042963382982,47.226057011652586,0.2613586808956019,1.5317252760920354e-08,1.0,2.3461823214192216e-16
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,36,F1_Tego_73.0_0.5,sisko,0.00010000103445003403,7.804024017942754,0.7649201595944845,0.1657136574844237,0.9935596440462664,0.0274610162768649
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,37,F1_Tego_69.0_0.25,sisko,0.00010000000000970746,2.990218548901234,0.749253463433634,0.21732603433917017,0.9214423726582297,0.04723060520159017
