Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n,a,curve_rmse,curve_r2,curve_mse
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,64,F3_Triton_73.0_0.5,cy5,4.730791519431331,0.9986029521804655,0.26442634157818984,0.7461102854163897,1.0091503907852324,4.9766320121337794e-11,1.0,2.4766866184194713e-21
Triton,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,65,F3_Triton_73.0_0.5,cy5,4.951797468768515,1.503240353139972,0.27533966935695253,0.6757160942721331,1.2161971831339267,3.9676421671178796e-11,1.0,1.5742184366291866e-21
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,66,F1_Tego_74.0_0.5,cy5,32.505680671942926,2.2784435486249643,1.4294679600258535,0.5208996316445272,1.6458601245457134,4.4694916675579507e-08,1.0,1.997635576636995e-15
none,74.0,0.0,96.0,0.0,2.0,2.0,Batch_2,2.8461538460443787,0.02083333333311632,67,F3_none_74.0_0.0,cy5,19.147822454728136,4.573412643521173,0.2528852592426058,0.45912614771274646,1.6381854768227408,3.0198333601501e-07,0.9999999999999959,9.119393523075444e-14
Tego,74.0,0.5,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,68,F1_Tego_74.0_0.5,cy5,52.210477425735924,2.5323048982377374,2.486563387837245,0.47838677612682606,9.685427578927266,7.877746218510583e-09,1.0,6.205888548325778e-17
Triton,77.0,0.0,96.0,2.0,0.0,2.0,Batch_2,3.347826086810964,0.020408163265097874,69,F1_Triton_77.0_0.0,cy5,250.3541618129134,4.789861939450732,2.0885281115217067,0.34292581390648913,6.723361642932734,1.0607225142048182e-09,1.0,1.125132252140991e-18
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.225806451541103,0.020408163265097874,70,F1_Tego_69.0_0.25,cy5,5.8384647681502715,0.056780458104338356,1.289564522267077,0.753710707414983,2.0945603636332923,2.328628600034078e-09,1.0,5.422511156896669e-18
Tego,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,71,F1_Tego_74.0_0.0,cy5,207.3372613222694,4.5076696836718675,2.9244262872802427,0.14113208779333827,7.339737466778894,5.472743201045122e-07,0.9999999999999998,2.9950918144585605e-13
Tego,69.0,0.5,97.0,1.5,0.0,1.5,Batch_2,2.225806451541103,0.015228426395784483,72,F2_Tego_69.0_0.5,cy5,2.1834104317268657,0.3136967022831311,1.2820442134481247,0.7414220498884297,1.2012978570732278,1.0051947369834402e-10,1.0,1.0104164592592074e-20
Triton,74.0,0.0,96.0,2.0,0.0,2.0,Batch_2,2.8461538460443787,0.020408163265097874,73,F1_Triton_74.0_0.0,cy5,63.70690465809375,3.315055896410913,1.4147046357576405,0.3326334714465003,6.592420938112979,3.511714837514676e-08,1.0,1.2332141100020728e-15
Triton,72.0,0.25,96.0,2.0,0.0,2.0,Batch_2,2.571428571336735,0.020408163265097874,74,F1_Triton_72.0_0.25,cy5,34.95328810795639,2.391965852316522,1.4265944456408253,0.36157649532156344,9.076453690624456,6.632291775739617e-08,1.0,4.3987294198543365e-15
