Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,k_consistency,n_flow,curve_rmse,curve_r2,curve_mse
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,42,F2_Tego_73.0_0.5,power_law,2.536086386666752,0.7711913386377554,0.08494028121445915,0.9861907097812793,0.007214851372791402
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,43,F2_Tego_73.0_0.5,power_law,3.170373539236574,0.8370106910368452,0.02412970495633366,0.9987408873395549,0.0005822426612797131
Tego,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,44,F2_Tego_73.0_0.5,power_law,3.426260992490129,0.811080375471193,0.043662218740929994,0.9970534405267768,0.0019063893453808184
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,45,F3_Tego_73.0_0.5,power_law,2.4124273625542902,0.8147642781405512,0.08555668549609644,0.9800341779716467,0.007319946433077957
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,46,F3_Tego_73.0_0.5,power_law,5.457694675859453,0.8568247637102697,0.09462608455688488,0.9920062369515291,0.008954095878566727
Tego,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,47,F3_Tego_73.0_0.5,power_law,7.498581071680646,0.8556666303009862,0.14959582276276692,0.9894836146959948,0.022378910188069177
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,48,F1_Triton_73.0_0.5,power_law,23.25061485892294,0.5700260966327191,1.36877895030583,0.9791017196300486,1.8735558148003302
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,49,F1_Triton_77.0_0.25,power_law,162.07515581829279,0.36150811238518,5.601740766119991,0.993825734134783,31.379499610810583
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,50,F1_Triton_77.0_0.25,power_law,147.12802643836855,0.3717821247689468,7.1085242109846645,0.9884534854237715,50.53111645815515
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,51,F1_Triton_69.0_0.5,power_law,26.75745375143621,0.42142249973332374,1.7318843240999888,0.9796479760503939,2.999423312063275
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,52,F1_Triton_73.0_0.5,power_law,81.46848822436237,0.2679536668183447,7.873434527000866,0.9636265618855847,61.99097125096935
Triton,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,53,F1_Triton_77.0_0.25,power_law,295.94539542553156,0.25915760278539945,17.4176991688159,0.984674646596848,303.37624433537013
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,54,F1_Triton_73.0_0.25,power_law,162.27074490971705,0.19688292670697197,14.091176406271995,0.9706046483902099,198.56125251267653
Triton,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,55,F1_Triton_73.0_0.25,power_law,129.99908716995506,0.271983228060975,10.406828238770455,0.9735226175544377,108.30207399127016
Triton,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,56,F1_Triton_69.0_0.5,power_law,23.528691366522136,0.4717227834199727,0.9657659248126581,0.9905667282038948,0.9327038215292488
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,57,F1_Triton_77.0_0.5,power_law,161.6080165846143,0.33914191601751165,5.8184818911275835,0.9934457732250507,33.85473151737962
Triton,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,58,F1_Triton_73.0_0.5,power_law,66.61986510091742,0.3514214954094398,4.767984427644894,0.977091976154551,22.73367550226421
Triton,77.0,0.5,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,59,F1_Triton_77.0_0.5,power_law,129.23541087254748,0.41099516091626026,3.8931585235144306,0.9950258596757829,15.156683289213062
