Dispersent_Type,Solid_Content_pct,Solid_Additive_pct,NMC_pct,C65_pct,KS6L_pct,PVDF_pct,Source_Batch,Solid_to_Liquid_Ratio,Binder_to_Active_Ratio,row_index,Composite_Mix_ID,model_name,eta_0,eta_inf,lambda_time,n_w,curve_rmse,curve_r2,curve_mse
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,10,F2_Hypermer_73.0_0.5,williamson,12.789361749345632,0.39520654734347,0.9360023870216307,0.7202195186183032,7.225011503518758e-11,1.0,5.220079122597839e-21
Hypermer,73.0,0.5,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,11,F2_Hypermer_73.0_0.5,williamson,10.304270087662152,0.5649811892687533,1.432203944717799,0.7932000575921027,7.722409076412363e-09,1.0,5.963560194345605e-17
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,12,F3_Hypermer_73.0_0.5,williamson,11.894689288706369,1.9703313182065885,1.8726160372069698,0.6174978447649457,2.5020657169485685e-09,1.0,6.260332851929355e-18
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,13,F3_Hypermer_73.0_0.5,williamson,20.432400229193735,0.681344022198457,0.5428025521870459,0.5415180170021501,5.894217792196527e-10,1.0,3.4741803381846094e-19
Hypermer,73.0,0.5,96.0,0.0,2.0,2.0,Batch_1,2.7037037036035665,0.02083333333311632,14,F3_Hypermer_73.0_0.5,williamson,12.978132929322982,1.9747472501354284,1.895998790789284,0.6606699276157695,1.6461413295834393e-08,0.9999999999999999,2.709781276962734e-16
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,15,F1_none_73.0_0.0,williamson,101.52724644870509,3.006458662666422,3.108916226952808,0.8089025637268661,1.6863646787245374e-10,1.0,2.843825829649712e-20
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,16,F1_none_73.0_0.0,williamson,60.840302418258666,2.567890312494176,1.5653269127088079,0.779344827975136,2.8813457615721034e-09,1.0,8.302153397729525e-18
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,17,F1_none_69.0_0.0,williamson,14.449048355584543,0.41019637478981047,0.8985345098554826,0.714660180938027,5.234331826970608e-09,1.0,2.739822967483747e-17
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,18,F1_none_69.0_0.0,williamson,8.451001277531581,0.2732326003395083,0.2162692681152271,0.5478997995046238,3.718515345417919e-10,1.0,1.3827356374108548e-19
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,19,F1_none_69.0_0.0,williamson,7.594998145418567,0.30680052630932975,0.1609740168801256,0.5692100124510485,4.911276998221645e-09,1.0,2.4120641753261016e-17
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,20,F1_none_73.0_0.0,williamson,903.9055860425738,2.9282050239603197,5.0349043067019945,1.0820576642893063,0.00034091018104297536,0.9999999999675607,1.1621975153875422e-07
none,69.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,21,F1_none_69.0_0.0,williamson,7.382427135324564,0.26518688112668537,0.2695043635635718,0.6179966455635362,6.346010299152388e-08,0.9999999999999986,4.027184671694818e-15
none,73.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,22,F1_none_73.0_0.0,williamson,588.0703041527138,3.2814575788683453,2.404308897967303,1.1794831224383615,4.115461104154634e-09,1.0,1.6937020099809684e-17
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,23,F2_none_73.0_0.0,williamson,7.132052507322851,0.3391775781576199,0.1810564784893207,0.465039890957327,3.972770579968804e-09,1.0,1.578290608106567e-17
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,24,F2_none_73.0_0.0,williamson,6.651811873762941,0.5272773369375222,1.2420020159581602,0.6807113385904724,1.5010315939614567e-09,1.0,2.2530958460704714e-18
none,73.0,0.0,97.0,1.5,0.0,1.5,Batch_1,2.7037037036035665,0.015228426395784483,25,F2_none_73.0_0.0,williamson,55.17967310228757,1.3437225136247832,3.288910395929611,0.826033443345514,2.467341781503856e-09,1.0,6.087775466754623e-18
none,74.0,0.0,96.0,2.0,0.0,2.0,Batch_1,2.8461538460443787,0.020408163265097874,26,F1_none_74.0_0.0,williamson,105.73000807952258,3.7445537836063965,1.5294418679605781,0.7789257569592792,1.0360402527239136e-07,1.0,1.0733794052642309e-14
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,27,F1_Tego_73.0_0.5,williamson,13.940320862534017,1.1219438620305455,0.5453803637492731,0.4602634936124303,1.3836854240615976e-08,1.0,1.914585352760523e-16
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,28,F1_Tego_77.0_0.25,williamson,98.23710863732825,4.4890317988052155,1.2695933151824006,0.703531662375984,6.942922461106145e-08,1.0,4.820417230093221e-15
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,29,F1_Tego_69.0_0.25,williamson,6.935511069288717,0.12992989873184324,0.13874928869245903,0.533583036938512,9.834089987461277e-10,1.0,9.670932588148612e-19
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,30,F1_Tego_77.0_0.25,williamson,737.494665887476,6.873726966707595,2.1447345785039214,0.991781489938311,3.649649621172365e-10,1.0,1.331994235732359e-19
Tego,77.0,0.25,96.0,2.0,0.0,2.0,Batch_1,3.347826086810964,0.020408163265097874,31,F1_Tego_77.0_0.25,williamson,710.4814435184185,7.147496225457826,2.01381872319485,0.9143427005899861,1.2645318439524537e-08,1.0,1.5990407843697928e-16
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,32,F1_Tego_73.0_0.25,williamson,149.65388722526242,3.1322911167767504,1.0961259483868384,1.0671143475516116,1.3564217389923242e-08,1.0,1.8398799340109611e-16
Tego,69.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,33,F1_Tego_69.0_0.5,williamson,9.262489550679188,0.07261084392418223,0.49214813916167294,0.4433102267931263,7.113706687916082e-09,1.0,5.0604822841702e-17
Tego,73.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,34,F1_Tego_73.0_0.25,williamson,132.719233094231,1.947955062126441,1.9259252246768868,1.0050566152293015,3.403065231904374e-10,1.0,1.1580852972596372e-19
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,35,F1_Tego_73.0_0.5,williamson,117.9118586782436,2.8412856245410154,1.4936886062145982,0.9604695179219997,3.139551645925655e-06,0.9999999999999756,9.85678453743449e-12
Tego,73.0,0.5,96.0,2.0,0.0,2.0,Batch_1,2.7037037036035665,0.020408163265097874,36,F1_Tego_73.0_0.5,williamson,13.14653250792695,0.4132495349856934,0.514380804999145,0.4017143481419671,4.832998833955902e-09,1.0,2.335787772901911e-17
Tego,69.0,0.25,96.0,2.0,0.0,2.0,Batch_1,2.225806451541103,0.020408163265097874,37,F1_Tego_69.0_0.25,williamson,3.1030356683188725,0.08346457618213722,0.047041909739705005,0.6735739436064563,3.886897613535039e-09,1.0,1.510797305810438e-17
